SA2_CODE21,LST_slope,LST_p,LST_trend,NDVI_slope,NDVI_p,NDVI_trend,NDBI_slope,NDBI_p,NDBI_trend
208021179,-0.041820067208876675,0.4690632682744802,no trend,0.002642594280527305,0.0005016191668583136,increasing,-0.0008146869685800497,0.052566837375503495,no trend
208021180,0.010552771241566618,0.8701367570919354,no trend,0.0018101804187005566,0.012455077396482883,increasing,-0.0006208766378190383,0.4690632682744802,no trend
208021181,-0.0018559254552707768,0.9813671252686653,no trend,0.0014763161160713087,0.052566837375503495,no trend,-0.0008602391893349232,0.1289960116674873,no trend
208021182,-0.008600092288991692,0.9070384808036946,no trend,0.0013058022161138467,0.042165578463101205,increasing,-0.00047266051704704826,0.5283124685330474,no trend
208021426,0.04377818389567975,0.387514377839314,no trend,0.0013211282477742226,0.09727654970369648,no trend,-0.0005170824531703602,0.41368622699316804,no trend
208021427,0.08351480814730691,0.11763382782129739,no trend,0.0013401431276274106,0.1411929728237964,no trend,-0.00034084820051157657,0.498219385345291,no trend
208031183,-0.09290127343375904,0.10707235212149269,no trend,0.00760294025643572,2.6745756389612296e-06,increasing,-0.007453070404882602,3.357563338024505e-06,decreasing
208031184,0.015323293178339534,0.9070384808036946,no trend,0.004130399128580469,9.608161668706039e-05,increasing,-0.0034713778496373473,0.0030162106167233027,decreasing
208031185,-0.07365806226589201,0.23361300135229124,no trend,0.003948697336263173,0.0003524968313242116,increasing,-0.002682995735900801,0.005448604576648863,decreasing
208031186,-0.07192361639686232,0.10707235212149269,no trend,0.002636737409064887,0.007235176109436026,increasing,-0.0022000817421761708,0.004070304881397702,decreasing
208031187,-0.0694521823359271,0.23361300135229124,no trend,0.004339998092124301,7.913997769493086e-05,increasing,-0.0031382615294354614,0.0018950157955626157,decreasing
208031188,0.035494439496100066,0.41368622699316804,no trend,0.0019079761067158523,0.023486186933639575,increasing,-0.0008253216599929337,0.23361300135229124,no trend
208031189,-0.029066426592299452,0.6238124360692694,no trend,0.002405524628854055,0.007235176109436026,increasing,-0.001246605825768963,0.18311229220036362,no trend
208031190,0.02727690882411987,0.5911541483740381,no trend,0.0012094367535647557,0.047125304183912364,increasing,-0.00044980462211169966,0.5911541483740381,no trend
208031191,0.07473605031045481,0.1289960116674873,no trend,0.0028476220769680254,0.001168988918142766,increasing,-0.0016758415933983601,0.07212432275983494,no trend
208031192,0.010941169366489027,0.9070384808036946,no trend,-0.0014226523090658263,0.41368622699316804,no trend,-0.0014935277198911865,0.44087649866088374,no trend
208031193,0.03372960495541502,0.3623776993195864,no trend,0.002623046574442188,0.00029458014258532117,increasing,-0.001120131410459429,0.058523973520625105,no trend
208041194,-0.005453136487990233,0.9813671252686653,no trend,0.0025440647415705614,0.0016164569904013604,increasing,-0.001013985228132763,0.016147623299816338,decreasing
208041195,-0.01960041910499921,0.5593049468922573,no trend,0.0022412171365354203,0.005448604576648863,increasing,-0.0015781803868272343,0.007235176109436026,decreasing
209011196,-0.02115431868280162,0.9070384808036946,no trend,0.0037052504458268453,0.009530847381806318,increasing,-0.0024913341655429873,0.005448604576648863,decreasing
209011197,0.03822099137075783,0.69134204811853,no trend,0.0032032388790725168,0.026505643985675675,increasing,-0.0016360677201190978,0.047125304183912364,decreasing
209011198,-0.0027387464316674937,0.9813671252686653,no trend,0.0018650790522887124,0.07212432275983494,no trend,-0.0011670261560530392,0.2157852878709825,no trend
209011199,0.01866538618582199,0.7614215361463608,no trend,0.0023468463005159182,0.07983871964585254,no trend,-0.0012384759658856026,0.2524605042504313,no trend
209011200,0.019961696950933982,0.9070384808036946,no trend,0.002506579597509862,0.009530847381806318,increasing,-0.0016387881080683507,0.026505643985675675,decreasing
209011201,0.02369743015285329,0.6572273920607943,no trend,0.002240289192300621,0.012455077396482883,increasing,-0.0017054172041771132,0.023486186933639575,decreasing
209011202,0.018759684548409705,0.9070384808036946,no trend,0.0030180310656106693,0.03356141170311466,increasing,-0.002177045302477274,0.052566837375503495,no trend
209011203,-0.03484586627021062,0.69134204811853,no trend,0.0029324703170098936,0.026505643985675675,increasing,-0.002451622336661848,0.023486186933639575,decreasing
209011204,-0.012353477486572118,0.8701367570919354,no trend,0.0026663938237103625,0.020769866768182377,increasing,-0.001786624939496247,0.047125304183912364,decreasing
209021205,-0.04739134372428816,0.4690632682744802,no trend,0.005007324378262859,0.004714044997715217,increasing,-0.004046932737204772,0.007235176109436026,decreasing
209021428,0.018424689600023622,0.498219385345291,no trend,0.0024891696479140348,0.012455077396482883,increasing,-0.0006022259679259196,0.29327072669776233,no trend
209021429,-0.013872183378642156,0.8701367570919354,no trend,0.0029636152598346973,0.005448604576648863,increasing,-0.0014231561787270634,0.06503135683341554,no trend
209021523,0.0392532748091485,0.6238124360692694,no trend,0.0030549733918110757,0.020769866768182377,increasing,-0.00215698022965117,0.042165578463101205,decreasing
209021524,-0.013658468407670033,0.8335157043083457,no trend,0.003495653953199602,0.007235176109436026,increasing,-0.0021996674410770444,0.042165578463101205,decreasing
209021525,0.008333879991563802,0.9070384808036946,no trend,0.0026651335140226483,0.01833157496099891,increasing,-0.0018620072627072233,0.058523973520625105,no trend
209021526,0.029534402108596446,0.7260951618325295,no trend,0.0028686620692039535,0.01833157496099891,increasing,-0.0014095555541475573,0.09727654970369648,no trend
209031209,-0.003068677467287314,1.0,no trend,0.0038107230739564983,0.007235176109436026,increasing,-0.002637617995123273,0.052566837375503495,no trend
209031210,-0.0448797961627643,0.5283124685330474,no trend,0.00544484557596258,0.004070304881397702,increasing,-0.004067344553475971,0.03765485026971738,decreasing
209031211,-0.031700386681071197,0.5283124685330474,no trend,0.00373787959530168,0.0005965451621383622,increasing,-0.002166891778265974,0.029854753709825932,decreasing
209031212,-0.051938322898980774,0.3152515554041373,no trend,0.004854073159772411,0.0025885719761729042,increasing,-0.0039686133639732675,0.06503135683341554,no trend
209031213,-0.03394204917216924,0.4690632682744802,no trend,0.005210920221754695,0.004070304881397702,increasing,-0.004181340462203864,0.009530847381806318,decreasing
209031214,0.006930097845244652,0.9813671252686653,no trend,0.00496620659435084,0.014195743882660095,increasing,-0.003908148599529228,0.07212432275983494,no trend
