SA2_CODE21,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct
208031192,26,0,0,22,,,3.0755,8.453909933344171,0.0
208031193,21199,3598,2090,42,1072.0,1082.0,7.9681,2660.4836786686915,16.972498702769
208041194,20239,4002,2364,40,1098.0,1137.0,6.1552,3288.114114894723,19.773704234398934
208041195,21923,3716,2386,38,1088.0,1128.0,7.5666,2897.3383025401104,16.950234913104957
209011196,9831,1966,1705,39,1024.0,1017.0,4.0749,2412.5745417065446,19.997965618960432
209011197,20807,4205,2078,42,1070.0,1061.0,10.0974,2060.629468972211,20.20954486470899
209011198,16039,3071,2102,40,1075.0,1089.0,6.3717,2517.224602539354,19.14707899494981
209011199,14852,1911,1618,35,962.0,991.0,6.6912,2219.6317551410807,12.866953945596551
209011200,12458,2288,2280,41,1085.0,1115.0,5.0498,2467.028397164244,18.36570878150586
209011201,7740,1625,2914,45,1118.0,1147.0,4.2769,1809.72199490285,20.99483204134367
209011202,16539,3386,2068,42,1080.0,1073.0,12.0278,1375.0644340610918,20.472821815103696
209011203,18733,3625,2025,40,1066.0,1068.0,10.2379,1829.76977700505,19.350878129504085
209011204,9236,1691,1961,39,1046.0,1035.0,3.7857,2439.707319650263,18.308791684712
209021205,10408,1419,1727,34,1012.0,1033.0,9.0094,1155.23786267676,13.633743274404303
209021428,20711,2661,1787,36,1004.0,1031.0,7.7457,2673.870663723098,12.848244894017672
209021429,12696,1791,1970,38,1034.0,1056.0,3.5679,3558.3956949466074,14.106805293005669
209021523,14795,2270,1544,36,974.0,983.0,4.788,3090.016708437761,15.34302129097668
209021524,9801,2484,1442,43,964.0,965.0,4.5297,2163.7194516193126,25.344352617079892
209021525,12799,2321,1401,38,958.0,978.0,4.1783,3063.207524591341,18.134229236659113
209021526,14090,1813,1743,37,1003.0,1017.0,5.6247,2505.0224900883604,12.867281760113555
209031209,23444,4154,2464,43,1098.0,1099.0,19.4882,1202.9843700290432,17.71881931411022
209031210,3554,553,2168,41,1068.0,1048.0,14.8421,239.4539856219807,15.559932470455825
209031211,4204,592,1809,42,1039.0,1002.0,319.504,13.157894736842104,14.081826831588963
209031212,5091,1029,2254,48,1086.0,1076.0,292.1978,17.423129126913345,20.2121390689452
209031213,9454,1639,2554,43,1097.0,1090.0,29.117,324.69004361713087,17.336577110217895
209031214,6935,1084,2831,43,1107.0,1116.0,49.7946,139.2721299096689,15.630857966834895
209031215,14417,1971,2496,39,1084.0,1069.0,26.8245,537.4564297563794,13.671360199764168
209041216,7350,1012,1833,37,1027.0,1033.0,4.715,1558.8547189819724,13.768707482993198
209041217,6186,1423,1423,40,983.0,982.0,2.5601,2416.311862817859,23.003556417717427
209041220,17470,2730,1798,40,1011.0,993.0,8.1362,2147.194021779209,15.62678878076703
209041221,11240,1847,1647,39,989.0,974.0,4.9298,2280.0113594872,16.43238434163701
209041223,19998,4372,1225,39,885.0,900.0,14.6852,1361.7792062757062,21.86218621862186
209041224,22627,2087,2002,33,1017.0,986.0,507.7457,44.56364672315295,9.223494055774076
209041225,10661,1795,1855,37,1031.0,999.0,297.9798,35.77759297777903,16.837069693274554
209041431,13144,1998,1675,37,961.0,945.0,7.7691,1691.830456552239,15.200852099817407
209041432,8204,1442,1443,38,927.0,920.0,15.8714,516.9046208904067,17.576791808873722
209041433,12143,752,1848,32,991.0,988.0,7.3573,1650.4696016201594,6.192868319196244
209041435,12595,889,2242,35,1051.0,1032.0,13.7094,918.7127080689162,7.058356490670901
209041436,12392,1814,1899,37,1021.0,997.0,7.7445,1600.1032991155012,14.638476436410588
209041437,24407,1155,1979,30,1002.0,1002.0,53.892,452.8872559934684,4.732248944974803
209041527,16299,1482,2173,34,1051.0,1027.0,9.4393,1726.7170235080991,9.092582367016382
209041528,10471,700,2120,32,1045.0,1022.0,5.0223,2084.901340023495,6.685130360042021
209041529,9947,2019,1224,38,884.0,896.0,3.3232,2993.199325950891,20.297577158942396
209041530,13513,2309,1450,37,919.0,935.0,8.7363,1546.764648649886,17.087249315473986
209041531,11427,1145,1897,34,1019.0,1003.0,15.1961,751.9692552694441,10.02012776756804
209041532,11940,632,2109,32,1034.0,1016.0,8.6268,1384.058978995688,5.293132328308207
210011226,8173,1597,1761,39,1026.0,1018.0,3.7194,2197.3974296929614,19.539948611281048
210011227,13,0,0,45,,,3.3549,3.874929208024084,0.0
210011228,8548,2104,1820,45,1052.0,1035.0,17.512,488.1224303334856,24.61394478240524
210011230,7460,1164,2239,40,1067.0,1073.0,2.8027,2661.7190566239697,15.603217158176944
210011231,10031,1663,2440,41,1089.0,1100.0,4.1444,2420.3744812276805,16.578606320406738
210011533,12388,3311,1587,45,1008.0,1012.0,5.4087,2290.384010945329,26.727478204714238
210011534,15073,3445,1913,43,1036.0,1031.0,5.4828,2749.1427737652293,22.85543687388045
210021232,14222,2322,2311,40,1079.0,1068.0,211.057,67.38464016829577,16.3268176065251
210021233,3523,739,2457,46,1103.0,1108.0,72.9902,48.26675361897899,20.976440533636108
210021234,4457,749,2156,42,1075.0,1048.0,83.3503,53.473112874218806,16.805025802109043
210021235,10765,1800,2004,41,1047.0,1016.0,624.7097,17.23200392118131,16.720854621458432
210031236,8425,1234,1980,38,1017.0,1041.0,4.8779,1727.177678919207,14.646884272997033
210031237,14002,2189,1436,35,936.0,952.0,5.0848,2753.6972938955314,15.63348093129553
210031439,3111,503,2162,40,1069.0,1061.0,1.5225,2043.3497536945813,16.168434586949534
210031440,6241,1089,1538,36,970.0,976.0,3.0502,2046.0953380106223,17.449126742509215
210031535,14783,2155,1526,34,945.0,961.0,6.2473,2366.3022425687896,14.577555300006765
210031536,8857,1188,1869,33,996.0,1004.0,2.6109,3392.3168256156882,13.413119566444621
210031537,7898,981,2204,36,1064.0,1071.0,2.3533,3356.138188926189,12.420866042035957
210031538,17214,2372,2003,36,1041.0,1048.0,4.631,3717.1237313755128,13.779481817125596
210041240,13671,1968,2106,39,1041.0,1013.0,129.5487,105.52788256462628,14.395435593592277
210041539,5237,422,2009,32,1037.0,1004.0,51.8922,100.92075494968415,8.05804850105022
210041540,14985,2621,1727,38,1014.0,990.0,41.4496,361.5233922643403,17.490824157490824
210041541,11166,1481,1987,36,1036.0,997.0,37.7941,295.4429395064309,13.263478416621888
210051242,13859,1641,1172,33,789.0,840.0,8.8268,1570.1046811981691,11.840681145825817
210051243,16057,2511,1104,34,791.0,836.0,18.1867,882.8979419025992,15.63803948433705
210051245,18024,3619,1600,41,979.0,965.0,13.936,1293.340987370838,20.07878384376387
210051246,22095,2427,2250,35,1033.0,1032.0,95.906,230.3818322107063,10.984385607603532
210051247,14890,1744,1274,34,800.0,845.0,4.6252,3219.3202456110002,11.712558764271323
210051248,126,22,1437,38,1064.0,1053.0,30.3848,4.146810247228878,17.46031746031746
210051250,6576,1321,1404,40,969.0,952.0,3.8595,1703.8476486591526,20.088199513381998
210051441,8099,898,1523,34,925.0,909.0,3.9685,2040.8214690689176,11.087788615878504
210051442,12309,743,1958,32,968.0,972.0,13.3514,921.9257905537996,6.036233650174669
210051443,21673,1479,1835,32,946.0,955.0,11.9142,1819.0898255862753,6.824159091957735
210051445,23374,828,1982,30,1001.0,997.0,70.8359,329.97392565069407,3.542397535723454
210051542,9842,343,1876,30,965.0,977.0,1.9198,5126.575684967184,3.4850640113798006
210051543,12999,960,1752,31,934.0,954.0,4.089,3179.0168745414526,7.3851834756519725
210051544,9479,872,1642,34,895.0,920.0,8.8762,1067.9119443004888,9.199282624749445
210051545,14658,1124,1619,30,854.0,899.0,3.4138,4293.7489015173705,7.6681675535543725
211011251,12589,2224,1610,38,1004.0,987.0,8.0437,1565.0757735867824,17.666216538247674
211011254,16601,2696,1953,39,1052.0,1042.0,15.2651,1087.5133474395843,16.239985543039577
211011255,6594,787,2756,41,1097.0,1088.0,18.494,356.54806964420897,11.935092508340917
211011256,15418,2504,2083,41,1054.0,1041.0,8.2003,1880.1751155445531,16.240757556103254
211011257,7905,1166,2285,41,1081.0,1073.0,4.1688,1896.229130685089,14.750158127767236
211011258,10375,1622,2363,42,1075.0,1065.0,9.3532,1109.2460334430998,15.633734939759037
211011259,14341,3053,1883,41,1045.0,1044.0,8.3064,1726.500048155639,21.28861306742905
211011260,17942,4144,1821,44,1046.0,1048.0,13.3559,1343.376335552078,23.096644744175677
