SA2_CODE21,LST,NDVI,NDBI,pop,elderly,median_hhd_income,median_age,IRSD_score,IRSAD_score,area_km2,pop_density,elderly_pct,SUHI
209021526,34.434278032673106,0.3370311247776848,-0.021111146087032982,14090,1813,1743,37,1003.0,1017.0,5.6247,2505.0224900883604,12.867281760113556,0.8311397191990153
209031209,30.915280390403847,0.5413614407072573,-0.13205560703782723,23444,4154,2464,43,1098.0,1099.0,19.4882,1202.9843700290432,17.71881931411022,-2.6878579230702435
209031210,31.451199265092878,0.5531506421116017,-0.07784504052120926,3554,553,2168,41,1068.0,1048.0,14.8421,239.4539856219807,15.559932470455824,-2.1519390483812124
209031211,23.468396168263954,0.7490598530212406,-0.334667972777636,4204,592,1809,42,1039.0,1002.0,319.504,13.157894736842104,14.081826831588964,-10.134742145210136
209031212,29.833072929896485,0.5797667611106234,-0.11027309844500033,5091,1029,2254,48,1086.0,1076.0,292.1978,17.423129126913345,20.2121390689452,-3.770065383577606
209031213,32.76855678404437,0.5024080708375692,-0.05867861797739023,9454,1639,2554,43,1097.0,1090.0,29.117,324.69004361713087,17.336577110217895,-0.8345815294297196
209031214,31.286856689792398,0.5537459053254594,-0.08381218804376399,6935,1084,2831,43,1107.0,1116.0,49.7946,139.2721299096689,15.630857966834895,-2.316281623681693
209031215,32.683470904298424,0.5090589893446852,-0.05883818219864871,14417,1971,2496,39,1084.0,1069.0,26.8245,537.4564297563794,13.671360199764168,-0.9196674091756663
209041216,34.41405841845974,0.40109750855459503,-0.03668195619705372,7350,1012,1833,37,1027.0,1033.0,4.715,1558.8547189819724,13.768707482993198,0.810920104985648
209041217,34.858701468478294,0.38924139436095223,-0.05255367657876958,6186,1423,1423,40,983.0,982.0,2.5601,2416.311862817859,23.003556417717427,1.2555631550042037
209041220,35.144455766394856,0.37560477797494984,-0.03355608522809861,17470,2730,1798,40,1011.0,993.0,8.1362,2147.194021779209,15.62678878076703,1.5413174529207652
209041221,35.08599516303572,0.3969905256538534,-0.055514083246649526,11240,1847,1647,39,989.0,974.0,4.9298,2280.0113594872,16.43238434163701,1.482856849561628
209041223,35.459503112783196,0.2864677986684904,0.01445865700996066,19998,4372,1225,39,885.0,900.0,14.6852,1361.7792062757062,21.86218621862186,1.8563647993091053
209041224,28.557986216050665,0.5879102425544656,-0.14473962601919124,22627,2087,2002,33,1017.0,986.0,507.7457,44.56364672315295,9.223494055774076,-5.045152097423426
209041225,30.84137928896871,0.518592504787671,-0.06683295344826744,10661,1795,1855,37,1031.0,999.0,297.9798,35.77759297777903,16.837069693274554,-2.7617590245053805
209041431,35.20328860644244,0.36312650866871216,-0.00490244859967904,13144,1998,1675,37,961.0,945.0,7.7691,1691.830456552239,15.200852099817409,1.600150292968351
209041432,35.50488893234321,0.3318152690672584,0.02712997091079104,8204,1442,1443,38,927.0,920.0,15.8714,516.9046208904067,17.576791808873722,1.9017506188691229
209041433,35.34702663698843,0.34135431801652827,-0.01155333743281171,12143,752,1848,32,991.0,988.0,7.3573,1650.4696016201594,6.192868319196244,1.7438883235143408
209041435,34.69214673801922,0.4163203620364773,-0.00140415995829319,12595,889,2242,35,1051.0,1032.0,13.7094,918.7127080689162,7.058356490670901,1.0890084245451277
209041436,34.55060938662763,0.3885181944165715,-0.03748958400235622,12392,1814,1899,37,1021.0,997.0,7.7445,1600.1032991155012,14.638476436410588,0.9474710731535367
209041437,35.237299571454294,0.34482976756347294,0.054588314633313206,24407,1155,1979,30,1002.0,1002.0,53.892,452.8872559934684,4.732248944974803,1.6341612579802032
209041527,35.109500183342746,0.4054373741159985,-0.02995997214393431,16299,1482,2173,34,1051.0,1027.0,9.4393,1726.7170235080991,9.092582367016382,1.5063618698686554
